GISJOIN,ZCTA5CE10
G0800310004201,80220
G1201050014203,33898
G1201050015600,33898
G1201050015702,33898
G1200550980100,33898
G1201050014302,33898
G1201050014201,33898
G1201050014202,33898
G1201050015401,33898
G1200860981000,33132
G1200860003707,33132
G1200860003702,33132
G1302090950100,30474
G1302790970400,30474
G1302790970300,30474
G1302790970200,30474
G1301830970100,31316
G1301830970200,31316
G1300650970100,31634
G1300650970200,31634
G1300890022402,30322
G1300370950100,39862
G1300070960200,39862
G1500070040800,96716
G1600290960200,83276
G1600310950200,83323
G1700310670100,60636
G1700310671400,60636
G1700310671600,60636
G1700310670300,60636
G1700310670400,60636
G1700310670600,60636
G1700310670700,60636
G1700310671500,60636
G1700310834900,60636
G1700310671800,60636
G1700310672000,60636
G1700310670900,60636
G1700310671200,60636
G1700310671900,60636
G1700310670800,60636
G1700310671100,60636
G1700310670200,60636
G1700310670500,60636
G1700310671300,60636
G1700310660700,60636
G1700310210700,60618
G1700310051100,60618
G1700310160900,60618
G1700310210601,60618
G1700310210602,60618
G1700310160501,60618
G1700310160502,60618
G1700310210100,60618
G1700310210502,60618
G1700310160700,60618
G1700310210501,60618
G1700310051400,60618
G1700310050300,60618
G1700310050900,60618
G1700310160601,60618
G1700310210900,60618
G1700310050800,60618
G1700310051000,60618
G1700310160602,60618
G1700310210800,60618
G1700310160400,60618
G1700310843700,60618
G1700310160800,60618
G1700310831100,60618
G1700310050200,60618
G1700310050500,60618
G1700310808500,60053
G1700310805301,60053
G1700310808301,60053
G1700310805302,60053
G1700310808302,60053
G1700310808400,60053
G1700310824800,60469
G1800050011100,47201
G1800050011000,47201
G1800050010100,47201
G1800050010700,47201
G1800050010800,47201
G1800050010900,47201
G1800050011500,47201
G1800050010200,47201
G1801250953900,47585
G1901530004702,50315
G1901530004603,50315
G1901530004501,50315
G1901530004602,50315
G1901530004200,50315
G1901530004400,50315
G1901530004300,50315
G1901530004100,50315
G1901530004502,50315
G1900210960400,50588
G1900210960500,50588
G2100510950100,40972
G2101510011200,40403
G2101510011100,40403
G2101510011301,40403
G2101510011302,40403
G2102030950100,40456
G2102030950300,40456
G2100810920100,41035
G2100810920200,41035
G2102170920200,42718
G2102170920100,42718
G2102170920500,42718
G2102170920400,42718
G2102170920300,42718
G2101790930700,40051
G2200370951600,70722
G2201050953500,70422
G2201050953600,70422
G2201130950600,70510
G2201130950700,70510
G2201130950901,70510
G2201130950902,70510
G2201130950500,70510
G2201130950800,70510
G2201190031900,71055
G2201190031500,71055
G2201190031600,71055
G2201190031700,71055
G2201190032000,71055
G2201190031800,71055
G2500170318100,01886
G2500170318200,01886
G2500170318300,01886
G2500170318400,01886
G2601250152000,48304
