ZCTA5CE10,treated,event_name
7093,NA,NA
7086,NA,NA
7094,NA,NA
8833,NA,NA
7921,NA,NA
7882,NA,NA
7830,NA,NA
8809,NA,NA
8802,NA,NA
8804,NA,NA
8865,NA,NA
8848,NA,NA
8825,NA,NA
18930,NA,NA
8801,NA,NA
8822,NA,NA
8876,NA,NA
18950,NA,NA
8559,NA,NA
8525,NA,NA
18938,NA,NA
8530,NA,NA
8610,NA,NA
8611,NA,NA
8629,NA,NA
8609,NA,NA
8608,NA,NA
8618,NA,NA
8638,NA,NA
8619,NA,NA
8620,NA,NA
8690,NA,NA
8550,NA,NA
8648,NA,NA
8628,NA,NA
8534,NA,NA
8560,NA,NA
18977,NA,NA
8542,NA,NA
8540,NA,NA
8528,NA,NA
8691,NA,NA
8520,NA,NA
8831,NA,NA
8535,NA,NA
8512,NA,NA
8846,NA,NA
8880,NA,NA
8805,NA,NA
7063,NA,NA
8812,NA,NA
8854,NA,NA
7080,NA,NA
8817,NA,NA
8901,NA,NA
8873,NA,NA
8904,NA,NA
8820,NA,NA
8830,NA,NA
7067,NA,NA
8840,NA,NA
8837,NA,NA
8832,NA,NA
7065,NA,NA
7001,NA,NA
7064,NA,NA
7095,NA,NA
8863,NA,NA
8861,NA,NA
7036,NA,NA
7008,NA,NA
8902,NA,NA
8816,NA,NA
8852,NA,NA
8824,NA,NA
8850,NA,NA
8882,NA,NA
8828,NA,NA
8872,NA,NA
8859,NA,NA
8857,NA,NA
8879,NA,NA
7747,NA,NA
7726,NA,NA
7721,NA,NA
7735,NA,NA
8884,NA,NA
8536,NA,NA
7732,NA,NA
7716,NA,NA
7737,NA,NA
7718,NA,NA
7748,NA,NA
7734,NA,NA
7701,NA,NA
7724,NA,NA
7738,NA,NA
7733,NA,NA
7730,NA,NA
7746,NA,NA
7704,NA,NA
7760,NA,NA
7750,NA,NA
7739,NA,NA
7702,NA,NA
7712,NA,NA
7757,NA,NA
7740,NA,NA
7755,NA,NA
7711,NA,NA
7723,NA,NA
7756,NA,NA
7720,NA,NA
7753,NA,NA
7719,NA,NA
7717,NA,NA
7762,NA,NA
8730,NA,NA
8736,NA,NA
8742,NA,NA
7728,NA,NA
7722,NA,NA
7731,NA,NA
8527,NA,NA
7727,NA,NA
8555,NA,NA
8514,NA,NA
8510,NA,NA
8501,NA,NA
7440,NA,NA
7035,NA,NA
7442,NA,NA
7444,NA,NA
7457,NA,NA
7405,NA,NA
7480,NA,NA
7045,NA,NA
7054,NA,NA
7046,NA,NA
7005,NA,NA
7834,NA,NA
7866,NA,NA
7878,NA,NA
7950,NA,NA
7960,NA,NA
7034,NA,NA
7927,NA,NA
7981,NA,NA
7928,NA,NA
7940,NA,NA
7933,NA,NA
7974,NA,NA
7920,NA,NA
7980,NA,NA
7885,NA,NA
7435,NA,NA
7438,NA,NA
7849,NA,NA
7801,NA,NA
7869,NA,NA
7803,NA,NA
7847,NA,NA
7856,NA,NA
7850,NA,NA
7852,NA,NA
7836,NA,NA
7945,NA,NA
7924,NA,NA
7926,NA,NA
7970,NA,NA
7930,NA,NA
7857,NA,NA
7828,NA,NA
7840,NA,NA
7870,NA,NA
8738,NA,NA
8724,NA,NA
8701,NA,NA
8723,NA,NA
8753,NA,NA
8733,NA,NA
8533,NA,NA
8759,NA,NA
8757,NA,NA
8755,NA,NA
8735,NA,NA
8732,NA,NA
8722,NA,NA
8751,NA,NA
8752,NA,NA
8740,NA,NA
8741,NA,NA
8721,NA,NA
8734,NA,NA
8731,NA,NA
8005,NA,NA
8758,NA,NA
8050,NA,NA
8092,NA,NA
8008,NA,NA
8006,NA,NA
7403,NA,NA
7012,NA,NA
7014,NA,NA
7055,NA,NA
7503,NA,NA
7512,NA,NA
7506,NA,NA
7524,NA,NA
7470,NA,NA
7502,NA,NA
7501,NA,NA
7522,NA,NA
7505,NA,NA
7513,NA,NA
7424,NA,NA
8069,NA,NA
8067,NA,NA
8023,NA,NA
8098,NA,NA
8079,NA,NA
8072,NA,NA
8038,NA,NA
8869,NA,NA
8807,NA,NA
8844,NA,NA
8836,NA,NA
8835,NA,NA
7060,NA,NA
7069,NA,NA
7059,NA,NA
7939,NA,NA
7934,NA,NA
7931,NA,NA
8553,NA,NA
8821,NA,NA
8558,NA,NA
7860,NA,NA
7821,NA,NA
7820,NA,NA
7874,NA,NA
7843,NA,NA
7206,NA,NA
7202,NA,NA
7201,NA,NA
7016,NA,NA
7033,NA,NA
7204,NA,NA
7203,NA,NA
7066,NA,NA
7090,NA,NA
7076,NA,NA
7027,NA,NA
7922,NA,NA
7092,NA,NA
7023,NA,NA
7062,NA,NA
7832,NA,NA
7833,NA,NA
7825,NA,NA
7863,NA,NA
7823,NA,NA
7880,NA,NA
8808,NA,NA
8886,NA,NA
11370,NA,NA
10473,NA,NA
10454,NA,NA
10472,NA,NA
10455,NA,NA
10451,NA,NA
10453,NA,NA
10460,NA,NA
10456,NA,NA
10474,NA,NA
10459,NA,NA
10462,NA,NA
10465,NA,NA
10457,NA,NA
10461,NA,NA
10452,NA,NA
10467,NA,NA
10469,NA,NA
10458,NA,NA
10468,NA,NA
10463,NA,NA
10475,NA,NA
10471,NA,NA
10464,NA,NA
10466,NA,NA
10470,NA,NA
10704,NA,NA
11201,NA,NA
11232,NA,NA
11220,NA,NA
11215,NA,NA
11205,NA,NA
11209,NA,NA
11217,NA,NA
11231,NA,NA
11219,NA,NA
11228,NA,NA
11238,NA,NA
11214,NA,NA
11225,NA,NA
11216,NA,NA
11218,NA,NA
11204,NA,NA
11221,NA,NA
11206,NA,NA
11223,NA,NA
11213,NA,NA
11233,NA,NA
11224,NA,NA
11203,NA,NA
11212,NA,NA
11235,NA,NA
11207,NA,NA
11237,NA,NA
11230,NA,NA
11222,NA,NA
11211,NA,NA
11226,NA,NA
11229,NA,NA
11234,NA,NA
11236,NA,NA
11210,NA,NA
11239,NA,NA
11208,NA,NA
11417,NA,NA
11024,NA,NA
11021,NA,NA
11020,NA,NA
11050,NA,NA
11547,NA,NA
11030,NA,NA
11576,NA,NA
11023,NA,NA
11577,NA,NA
11596,NA,NA
11507,NA,NA
11753,NA,NA
11001,NA,NA
11040,NA,NA
11042,NA,NA
11530,NA,NA
11501,NA,NA
11514,NA,NA
11590,NA,NA
11003,NA,NA
11010,NA,NA
11565,NA,NA
11552,NA,NA
11550,NA,NA
11570,NA,NA
11549,NA,NA
11556,NA,NA
11553,NA,NA
11575,NA,NA
11756,NA,NA
11554,NA,NA
11710,NA,NA
11793,NA,NA
11566,NA,NA
11801,NA,NA
11714,NA,NA
11783,NA,NA
11580,NA,NA
11563,NA,NA
11581,NA,NA
11422,NA,NA
11557,NA,NA
11598,NA,NA
11096,NA,NA
11516,NA,NA
11518,NA,NA
11691,NA,NA
11510,NA,NA
11572,NA,NA
11558,NA,NA
11520,NA,NA
11561,NA,NA
11509,NA,NA
11569,NA,NA
11560,NA,NA
11542,NA,NA
11579,NA,NA
11545,NA,NA
11771,NA,NA
11548,NA,NA
11791,NA,NA
11724,NA,NA
11743,NA,NA
11803,NA,NA
11804,NA,NA
11735,NA,NA
11762,NA,NA
11758,NA,NA
11702,NA,NA
11701,NA,NA
10004,NA,NA
10002,NA,NA
10038,NA,NA
10013,NA,NA
10005,NA,NA
10006,NA,NA
10009,NA,NA
10012,NA,NA
10279,NA,NA
10282,NA,NA
10003,NA,NA
10278,NA,NA
10016,NA,NA
10011,NA,NA
10001,NA,NA
10010,NA,NA
10014,NA,NA
10174,NA,NA
10168,NA,NA
10110,NA,NA
10018,NA,NA
10022,NA,NA
10017,NA,NA
10171,NA,NA
10177,NA,NA
10112,NA,NA
10199,NA,NA
10154,NA,NA
10119,NA,NA
10103,NA,NA
10019,NA,NA
10021,NA,NA
10065,NA,NA
10036,NA,NA
10075,NA,NA
10162,NA,NA
10028,NA,NA
10023,NA,NA
10128,NA,NA
10029,NA,NA
10024,NA,NA
10025,NA,NA
10035,NA,NA
10026,NA,NA
10027,NA,NA
10037,NA,NA
10030,NA,NA
10031,NA,NA
10039,NA,NA
10032,NA,NA
10033,NA,NA
10040,NA,NA
10034,NA,NA
10069,NA,NA
11421,NA,NA
11416,NA,NA
11101,NA,NA
11418,NA,NA
11102,NA,NA
11106,NA,NA
11103,NA,NA
11414,NA,NA
11419,NA,NA
11105,NA,NA
11420,NA,NA
11415,NA,NA
11377,NA,NA
11435,NA,NA
11436,NA,NA
11104,NA,NA
11378,NA,NA
11424,NA,NA
11433,NA,NA
11451,NA,NA
11373,NA,NA
11372,NA,NA
11434,NA,NA
11413,NA,NA
11369,NA,NA
11412,NA,NA
11368,NA,NA
11354,NA,NA
11375,NA,NA
11432,NA,NA
11374,NA,NA
11423,NA,NA
11379,NA,NA
11366,NA,NA
11427,NA,NA
11428,NA,NA
11429,NA,NA
11411,NA,NA
11385,NA,NA
11426,NA,NA
11367,NA,NA
11355,NA,NA
11365,NA,NA
11430,NA,NA
11357,NA,NA
11697,NA,NA
11694,NA,NA
11356,NA,NA
11693,NA,NA
11692,NA,NA
11359,NA,NA
11360,NA,NA
11361,NA,NA
11358,NA,NA
11364,NA,NA
11362,NA,NA
11363,NA,NA
11004,NA,NA
10301,NA,NA
10304,NA,NA
10305,NA,NA
10310,NA,NA
10306,NA,NA
10308,NA,NA
10314,NA,NA
10312,NA,NA
10309,NA,NA
10302,NA,NA
10303,NA,NA
10307,NA,NA
10311,NA,NA
11746,NA,NA
11747,NA,NA
11757,NA,NA
11704,NA,NA
11798,NA,NA
11729,NA,NA
11703,NA,NA
11795,NA,NA
11726,NA,NA
11706,NA,NA
11718,NA,NA
11770,NA,NA
10701,NA,NA
10705,NA,NA
10703,NA,NA
10552,NA,NA
10708,NA,NA
10550,NA,NA
10553,NA,NA
10801,NA,NA
10803,NA,NA
10805,NA,NA
10538,NA,NA
10804,NA,NA
19601,NA,NA
19610,NA,NA
19604,NA,NA
19602,NA,NA
19607,NA,NA
19611,NA,NA
19508,NA,NA
19506,NA,NA
19501,NA,NA
19608,NA,NA
19609,NA,NA
19540,NA,NA
19523,NA,NA
17555,NA,NA
19542,NA,NA
19518,NA,NA
19519,NA,NA
19606,NA,NA
19560,NA,NA
19510,NA,NA
19605,NA,NA
19535,NA,NA
19547,NA,NA
19512,NA,NA
19545,NA,NA
18056,NA,NA
19503,NA,NA
19504,NA,NA
19522,NA,NA
19555,NA,NA
19530,NA,NA
19536,NA,NA
19539,NA,NA
19020,NA,NA
19053,NA,NA
19056,NA,NA
19007,NA,NA
19021,NA,NA
19057,NA,NA
19055,NA,NA
19054,NA,NA
19047,NA,NA
18940,NA,NA
19067,NA,NA
18966,NA,NA
19040,NA,NA
18974,NA,NA
19454,NA,NA
19002,NA,NA
18976,NA,NA
18929,NA,NA
18914,NA,NA
18944,NA,NA
18901,NA,NA
18932,NA,NA
18917,NA,NA
18960,NA,NA
18969,NA,NA
18073,NA,NA
18935,NA,NA
18951,NA,NA
18036,NA,NA
18955,NA,NA
18055,NA,NA
18942,NA,NA
18913,NA,NA
18902,NA,NA
18912,NA,NA
18954,NA,NA
19030,NA,NA
19087,NA,NA
19301,NA,NA
19312,NA,NA
19355,NA,NA
19460,NA,NA
19333,NA,NA
19073,NA,NA
19342,NA,NA
19453,NA,NA
19468,NA,NA
19475,NA,NA
19457,NA,NA
19464,NA,NA
19465,NA,NA
19345,NA,NA
