GISJOIN,ZCTA5CE10
G4100590951400,97868
G4200170104100,18917
G4200430021400,17104
G4200430021300,17104
G4200430021700,17104
G4200430021500,17104
G4200270010600,16823
G4200270011100,16823
G4200270011000,16823
G4200270011200,16823
G4200030449000,15046
G4500730030500,29691
G4500890970200,29560
G4500410002000,29560
G4500890970100,29560
G4500410002202,29560
G4500410002201,29560
G4500410002400,29591
G4500630020800,29160
G4500170950100,29160
G4500350010300,29437
G4701550080900,37862
G4701550080800,37862
G4701550080500,37862
G4701290110300,37887
G4700290980501,37821
G4700290980502,37821
G4700290980600,37821
G4700290980200,37821
G4700850130300,37185
G4700850130200,37185
G4700410980200,37166
G4700410980100,37166
G4700030950700,37183
G4700890070500,37871
G4700930005300,37871
G4701530060100,37327
G4701530060200,37327
G4701690090100,37074
G4701690090200,37074
G4804990950200,75494
G4804990950100,75494
G4803790950200,75472
G4800390664300,77541
G4800390664400,77541
G4800390664200,77541
G4800390664100,77541
G4800930950400,76446
G4801430950300,76446
G4804630950100,78881
G4800050001300,75949
G4804850011300,76305
G4804850011200,76305
G4804850013200,76305
G4802470950200,78361
G4802470950400,78361
G4801830000700,75604
G4801830010302,75604
G4801830000501,75604
G4801830000502,75604
G4801830000800,75604
G4801830010301,75604
G4801830000900,75604
G4803950960300,77856
G4900150976300,84537
G4900270974200,84624
G4900150976200,84528
G4900490010204,84003
G4900490000300,84003
G4900490000204,84003
G4900490000203,84003
G4900490000400,84003
G4900490000202,84003
G4900490000201,84003
G4900230010100,84648
G5100510990100,24256
G5101850990700,24651
G5101850990600,24651
G5101710040100,22657
G5108200003200,22980
G5108200003400,22980
G5108200003300,22980
G5108200003500,22980
G5100150070500,22980
G5108200003100,22980
G5101070610700,20175
G5101070610601,20175
G5101070610602,20175
G5101070611008,20175
G5100230040100,24085
G5101010950100,23009
G5100230040200,24066
G5300530062500,98408
G5300530063100,98408
G5300530063200,98408
G5300530062400,98408
G5300530063501,98408
G5400470954400,24836
G5401090953200,24726
G5300330023401,98007
G5300330023201,98007
G5300330023603,98007
G5300330022801,98007
G5500850970100,54501
G5500850970600,54501
G5500850971500,54501
G5500850970400,54501
G5500850971400,54501
G5500850970500,54501
G5600170940200,82443
G5600170987800,82443
G5600170987600,82443
G5600170940100,82443
G5400630950200,24983
G0101330995600,35553
G3000710060100,59538
G2601630586000,48242
G5300410971200,98570
G0101070050300,35447
G0100230956800,36904
G0400130940700,85321
G0400190004900,85321
G0400190005000,85321
G0600970153703,95421
G0600970154301,95421
G0900090140500,06519
G0900090140600,06519
G0900090140300,06519
G0900090140400,06519
G1200890050301,32097
G1200890050302,32097
G1200860006702,33129
G1200860006601,33129
G1300830040300,30738
G1302950020400,30738
G1600790960400,83873
G0400170960100,86025
G0400170960200,86025
G1700310800600,60043
G3900170010203,45053
G1200050000801,32404
G1200050000400,32404
G1200050000802,32404
G1200050000500,32404
G1200050001100,32404
G1200050000900,32404
G2100890040700,41175
G2300170995100,03579
G3300070950300,03579
G2500110040200,01337
G2600690990400,48750
G2600690990200,48750
G2600690990100,48750
G2600690990300,48750
G2801510000100,38748
G2801510002000,38748
G2801510002100,38748
G2801510001500,38748
G2600130950100,49946
G2600550991100,49686
G2600550991300,49686
G2600550990900,49686
G2600550990600,49686
G2600550990200,49686
G2600550991200,49686
G2600550991000,49686
G2701150950500,55037
G2701150950400,55037
G2500210400100,02446
G2500210400800,02446
G2500210400200,02446
G2500210400300,02446
G2500210400400,02446
G2800010000600,39120
G2800010000800,39120
G2800010000900,39120
G2800010000300,39120
G2800010000400,39120
G2800010000500,39120
G2800010000100,39120
G2800010000700,39120
G2800010000200,39120
G2900690960300,63933
G3100450950600,69337
G3100450950700,69337
G3200170950100,89043
G3400290736101,08087
G3400050703400,08087
G3400290736102,08087
G3400290737000,08087
G3400290736001,08087
G3400290736103,08087
G3700490960800,28560
G3700490960900,28560
G3700490960700,28560
G3700490960100,28560
G3400270044701,07849
G3600610002700,10038
G3600610001502,10038
G3600610002500,10038
G3600610001501,10038
G3400010011401,08330
G3400010011500,08330
G3400010011402,08330
G4201010036600,19106
G4201010001000,19106
G4201010000100,19106
G4805050950200,78067
G0101310994700,36728
G5600390997600,82190
G5600370970700,82938
G0100590973200,35653
G0100590973100,35653
G0100910983300,36782
G0100550010900,35954
G0100550010200,35954
G0100550010100,35954
G0100550010300,35954
G0101270020300,35504
G0101270020700,35504
G0101270020800,35504
G0101210011500,35151
G0100370961100,35151
G0100910982900,36742
